"Story","Title","Result","Date","Stability","Duration (s)"
"Product crud test with steps","This will create new product","SUCCESS","2023-01-03T14:10:42.333Z[Europe/London]","0.0","3.11"
"Product crud test with steps","Verify if the student was added to the application","SUCCESS","2023-01-03T14:10:45.475Z[Europe/London]","0.0","0.7"
"Product crud test with steps","Update the user information and verify the updated information","SUCCESS","2023-01-03T14:10:46.177Z[Europe/London]","0.0","0.27"
"Product crud test with steps","Delete the student and verify if the student is deleted!","SUCCESS","2023-01-03T14:10:46.451Z[Europe/London]","0.0","0.07"
"Product crud test with steps2","This will create new product","SUCCESS","2023-01-03T14:10:47.452Z[Europe/London]","0.0","0.07"
"Product crud test with steps2","Delete the store and verify if the store is deleted!","SUCCESS","2023-01-03T14:10:47.573Z[Europe/London]","0.0","0.05"
"Store curd test with steps","This will create new store","SUCCESS","2023-01-03T14:10:47.707Z[Europe/London]","0.0","0.1"
"Store curd test with steps","Verify if the store was added to the application","SUCCESS","2023-01-03T14:10:47.807Z[Europe/London]","0.0","0.1"
"Store curd test with steps","Update the user information and verify the updated information","SUCCESS","2023-01-03T14:10:47.916Z[Europe/London]","0.0","0.12"
"Store curd test with steps","Delete the store and verify if the student is deleted!","SUCCESS","2023-01-03T14:10:48.034Z[Europe/London]","0.0","0.05"
